delta,model,family,bin_lo,bin_hi,n,k,q,ci_lo,ci_hi
0.2,gpt,square,0.5,0.6000000000000001,65,35,0.5384615384615384,0.41853187398623515,0.6540986285006332
0.2,gpt,square,0.6000000000000001,0.7000000000000001,22,17,0.7727272727272727,0.5655964393704065,0.8987710920517964
0.2,gpt,square,0.7000000000000001,0.8,6,6,1.0,0.6096569663469354,0.9999999999999999
0.2,gpt,square,0.8,0.9,0,0,,,
0.2,gpt,square,0.9,1.0,0,0,,,
0.2,gpt,triangular,0.0,0.1,0,0,,,
0.2,gpt,triangular,0.1,0.2,0,0,,,
0.2,gpt,triangular,0.2,0.30000000000000004,4,2,0.5,0.15003570882017148,0.8499642911798285
0.2,gpt,triangular,0.30000000000000004,0.4,17,4,0.23529411764705882,0.0955488907167594,0.47262245889171595
0.2,gpt,triangular,0.4,0.5,54,26,0.48148148148148145,0.3539375603654322,0.6114852495153457
0.2,gpt,triangular,0.5,0.6000000000000001,68,46,0.6764705882352942,0.5584427498007829,0.7756255337563762
0.2,gpt,triangular,0.6000000000000001,0.7000000000000001,16,15,0.9375,0.7167073163197013,0.9888809426916687
0.2,gpt,triangular,0.7000000000000001,0.8,1,1,1.0,0.20654329147389294,1.0
0.2,gpt,triangular,0.8,0.9,0,0,,,
0.2,gpt,triangular,0.9,1.0,0,0,,,
0.2,gma,random,0.0,0.1,480,48,0.1,0.0762562681547226,0.13009556269239764
0.2,gma,random,0.1,0.2,46,13,0.2826086956521739,0.1732404154491407,0.42548835730293777
0.2,gma,random,0.2,0.30000000000000004,14,14,1.0,0.7846829880728186,1.0
0.2,gma,random,0.30000000000000004,0.4,13,10,0.7692307692307693,0.49743126004873084,0.918206209075343
0.2,gma,random,0.4,0.5,19,19,1.0,0.8318156346315496,1.0000000000000002
0.2,gma,random,0.5,0.6000000000000001,80,75,0.9375,0.8618967084664824,0.9730110223020145
0.2,gma,random,0.6000000000000001,0.7000000000000001,46,36,0.782608695652174,0.6442603416081054,0.8773922538141925
0.2,gma,random,0.7000000000000001,0.8,50,44,0.88,0.7619492111337642,0.9438247628937535
0.2,gma,random,0.8,0.9,53,46,0.8679245283018868,0.7515949119376506,0.9345222979931043
0.2,gma,random,0.9,1.0,479,460,0.9603340292275574,0.9388814086047261,0.974461600779718
0.2,gma,square,0.0,0.1,59,7,0.11864406779661017,0.058675082779140006,0.22523875773415053
0.2,gma,square,0.1,0.2,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
0.2,gma,square,0.2,0.30000000000000004,3,3,1.0,0.43849391955098227,1.0
0.2,gma,square,0.30000000000000004,0.4,0,0,,,
0.2,gma,square,0.4,0.5,5,2,0.4,0.1176182311592533,0.769280067791163
0.2,gma,square,0.5,0.6000000000000001,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
0.2,gma,square,0.6000000000000001,0.7000000000000001,7,5,0.7142857142857143,0.35892909014821267,0.9177828342909844
0.2,gma,square,0.7000000000000001,0.8,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831
0.2,gma,square,0.8,0.9,7,7,1.0,0.6456611570247934,1.0
0.2,gma,square,0.9,1.0,60,60,1.0,0.9398260695220669,0.9999999999999999
0.2,gma,triangular,0.0,0.1,60,11,0.18333333333333332,0.1055768903713613,0.29919993226466285
0.2,gma,triangular,0.1,0.2,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
0.2,gma,triangular,0.2,0.30000000000000004,2,2,1.0,0.34237195288961925,1.0
0.2,gma,triangular,0.30000000000000004,0.4,0,0,,,
0.2,gma,triangular,0.4,0.5,3,3,1.0,0.43849391955098227,1.0
0.2,gma,triangular,0.5,0.6000000000000001,14,13,0.9285714285714286,0.6853073044604219,0.9872781138877085
0.2,gma,triangular,0.6000000000000001,0.7000000000000001,2,2,1.0,0.34237195288961925,1.0
