delta,model,family,bin_lo,bin_hi,n,k,q,ci_lo,ci_hi
0.05,gpt,triangular,0.6000000000000001,0.7000000000000001,16,15,0.9375,0.7167073163197013,0.9888809426916687
0.05,gpt,triangular,0.7000000000000001,0.8,1,1,1.0,0.20654329147389294,1.0
0.05,gpt,triangular,0.8,0.9,0,0,,,
0.05,gpt,triangular,0.9,1.0,0,0,,,
0.05,gma,random,0.0,0.1,480,60,0.125,0.09835851783133098,0.1575963235878442
0.05,gma,random,0.1,0.2,46,13,0.2826086956521739,0.1732404154491407,0.42548835730293777
0.05,gma,random,0.2,0.30000000000000004,14,14,1.0,0.7846829880728186,1.0
0.05,gma,random,0.30000000000000004,0.4,13,12,0.9230769230769231,0.6668546607175265,0.9862899336203037
0.05,gma,random,0.4,0.5,19,19,1.0,0.8318156346315496,1.0000000000000002
0.05,gma,random,0.5,0.6000000000000001,80,79,0.9875,0.9325356757603457,0.9977900813816939
0.05,gma,random,0.6000000000000001,0.7000000000000001,46,40,0.8695652173913043,0.7433386576963865,0.9388224286250797
0.05,gma,random,0.7000000000000001,0.8,50,47,0.94,0.8378265662912299,0.9793854036353695
0.05,gma,random,0.8,0.9,53,50,0.9433962264150944,0.8462955106387368,0.9805636910726857
0.05,gma,random,0.9,1.0,479,473,0.9874739039665971,0.9729439416864986,0.9942469548725387
0.05,gma,square,0.0,0.1,59,11,0.1864406779661017,0.10742612239043585,0.30379192425382523
0.05,gma,square,0.1,0.2,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
0.05,gma,square,0.2,0.30000000000000004,3,3,1.0,0.43849391955098227,1.0
0.05,gma,square,0.30000000000000004,0.4,0,0,,,
0.05,gma,square,0.4,0.5,5,4,0.8,0.3755282641185388,0.9637768390302125
0.05,gma,square,0.5,0.6000000000000001,7,7,1.0,0.6456611570247934,1.0
0.05,gma,square,0.6000000000000001,0.7000000000000001,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
0.05,gma,square,0.7000000000000001,0.8,6,5,0.8333333333333334,0.43649056343635395,0.9699474141282697
0.05,gma,square,0.8,0.9,7,7,1.0,0.6456611570247934,1.0
0.05,gma,square,0.9,1.0,60,60,1.0,0.9398260695220669,0.9999999999999999
0.05,gma,triangular,0.0,0.1,60,12,0.2,0.11828389736858964,0.3178204609181701
0.05,gma,triangular,0.1,0.2,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
0.05,gma,triangular,0.2,0.30000000000000004,2,2,1.0,0.34237195288961925,1.0
0.05,gma,triangular,0.30000000000000004,0.4,0,0,,,
0.05,gma,triangular,0.4,0.5,3,3,1.0,0.43849391955098227,1.0
0.05,gma,triangular,0.5,0.6000000000000001,14,13,0.9285714285714286,0.6853073044604219,0.9872781138877085
0.05,gma,triangular,0.6000000000000001,0.7000000000000001,2,2,1.0,0.34237195288961925,1.0
0.05,gma,triangular,0.7000000000000001,0.8,8,8,1.0,0.6755843804891231,1.0
0.05,gma,triangular,0.8,0.9,5,5,1.0,0.5655085052479191,1.0000000000000002
0.05,gma,triangular,0.9,1.0,60,60,1.0,0.9398260695220669,0.9999999999999999
0.05,qwn,random,0.0,0.1,37,7,0.1891891891891892,0.09479858757337126,0.342050115709556
0.05,qwn,random,0.1,0.2,26,24,0.9230769230769231,0.7585805251948495,0.9786453608166245
0.05,qwn,random,0.2,0.30000000000000004,39,34,0.8717948717948718,0.7329395096236953,0.9439726505197168
0.05,qwn,random,0.30000000000000004,0.4,93,69,0.7419354838709677,0.6446603321344209,0.8200160053073398
0.05,qwn,random,0.4,0.5,226,170,0.7522123893805309,0.6920228064417112,0.803970956219182
0.05,qwn,random,0.5,0.6000000000000001,337,268,0.7952522255192879,0.7489561577114853,0.834892762138674
0.05,qwn,random,0.6000000000000001,0.7000000000000001,180,152,0.8444444444444444,0.784363054834744,0.8901306397371049
0.05,qwn,random,0.7000000000000001,0.8,162,151,0.9320987654320988,0.8825134184560102,0.9616656053836057
0.05,qwn,random,0.8,0.9,100,100,1.0,0.9630051925239981,0.9999999999999999
0.05,qwn,random,0.9,1.0,80,80,1.0,0.954180263735425,1.0
0.05,qwn,square,0.0,0.1,5,1,0.2,0.03622316096978745,0.6244717358814613
0.05,qwn,square,0.1,0.2,4,4,1.0,0.5100999795960008,1.0
0.05,qwn,square,0.2,0.30000000000000004,5,5,1.0,0.5655085052479191,1.0000000000000002
0.05,qwn,square,0.30000000000000004,0.4,10,6,0.6,0.3126695474501864,0.8318224187964902
