dataset,claim_id,k,n,rank_3col,A_k,B_k,max_abs_gap_legacy_vs_identified
stage2d,382,8,120,2,-13.520471878302425,7.427736098262036,0.4254060193229437
stage2d,993,2,72,2,-13.020029129418,14.629459540346401,0.09524192416552302
stage2d,993,5,144,2,-8.680230038381742,3.745219329332527,0.32928684367934924
stage2d,993,8,120,2,-25.789826043214507,6.669280978229043,0.20479636666430578
stage2d,1103,2,72,2,-19.02042379430259,15.885041838630123,0.004258906914588231
stage2d,1103,5,144,2,-8.145663905469643,2.6075909456346356,0.17869339061089826
stage2d,1103,8,120,2,-9.187711504963083,1.8723797306855072,0.2155243962953114
stage2d,1239,2,72,2,-14.2945414782272,13.783725634935585,0.14010051756187986
stage2d,1239,5,144,2,-11.56181891562312,3.9019338674538773,0.12754046691196264
stage2d,1239,8,120,2,-13.532443650177827,2.7808248775706907,0.10779363324988889
stage2d,1569,2,72,2,-12.653387692081637,25.70703803689218,3.1967010904880656e-06
stage2d,1569,5,144,2,-4.059635674079841,3.3905781406528823,0.12034019979227023
stage2d,1569,8,120,2,-13.61012347194919,7.248713610307793,0.23243799885859523
stage2d,2070,2,72,2,2.3979051623111105,11.463374940703293,0.916666166775609
stage2d,2070,5,144,2,13.813025252708176,2.047185192225604,1.9820730962072375e-06
stage2d,2070,8,120,2,13.73325446915515,1.4850671980329577,5.8001586644707e-07
stage2d,90006,2,72,2,-13.307420062565258,13.818245879187415,0.11097364266709264
stage2d,90006,5,144,2,-9.947187587811392,4.141301850470107,0.10781547738151515
stage2d,90006,8,120,2,-25.966004731341744,6.491503346629367,0.1647613393826589
stage2d,90382,2,72,2,-3.1354529775808153,16.624963541305323,0.7317853087019044
stage2d,90382,5,144,2,-13.099013602210059,14.197622007222202,0.24995079328988767
stage2d,90382,8,120,2,-13.520471878278295,7.427736098249971,0.625345120265505
stage2d,91569,2,72,2,-0.16704938303161096,13.839910878579174,0.4498936204361458
stage2d,91569,5,144,2,-3.5016573999578493,1.8723531819398287,0.4822451386246559
stage2d,91569,8,120,2,-3.794036608371248,1.0595614345153956,0.4948394689428921
stage2d,92070,2,72,2,-1.3349928476883173,14.93190899930462,0.2078247711928608
stage2d,92070,5,144,2,-1.0519214908938492,1.75983716060856,0.08908567307167109
stage2d,92070,8,120,2,-1.4195833098634798,0.9950472679289009,0.1468840801148632
