rule,arm,alpha,rho,x0_n,x0,n,obs_q,obs_wrong,obs_mean_x8,pred_q,pred_wrong,pred_mean_x8
blind_pooled,A,0.3,1,12,0.375,16,0.0,0.9375,0.109375,0.15531250000000002,0.815625,0.20451171875000002
blind_pooled,A,0.3,1,16,0.5,16,0.0,0.9375,0.134765625,0.6871875,0.2784375,0.6942285156249999
blind_pooled,A,0.3,1,20,0.625,16,0.0625,0.9375,0.16796875,0.9871875,0.010000000000000002,0.9627832031250001
blind_pooled,A,0.3,1,24,0.75,16,0.3125,0.625,0.404296875,1.0,0.0,0.97453125
blind_pooled,A,0.38,0,4,0.125,16,0.0,1.0,0.07421875,0.008125,0.97375,0.117509765625
blind_pooled,A,0.38,0,8,0.25,16,0.0,0.9375,0.09375,0.04781250000000001,0.905,0.1616796875
blind_pooled,A,0.38,0,12,0.375,16,0.0,0.875,0.12890625,0.4084375,0.49624999999999997,0.48356445312499996
blind_pooled,A,0.38,0,16,0.5,40,0.025,0.9,0.1453125,0.833625,0.11462500000000002,0.8165664062500001
blind_pooled,A,0.38,0,20,0.625,40,0.15,0.8,0.24375,0.9897499999999999,0.004,0.945375
blind_pooled,A,0.38,0,24,0.75,40,0.35,0.525,0.45234375,0.9998750000000001,0.000125,0.9560507812499999
blind_pooled,A,0.45,0,4,0.125,40,0.0,0.975,0.09765625,0.08,0.79075,0.26665625000000004
blind_pooled,A,0.45,0,8,0.25,40,0.0,0.85,0.1546875,0.27575,0.5497500000000001,0.41800781249999996
blind_pooled,A,0.45,0,12,0.375,16,0.0,0.875,0.1640625,0.6637500000000001,0.199375,0.6855859375
blind_pooled,A,0.45,0,16,0.5,16,0.0,0.875,0.150390625,0.9190625,0.034374999999999996,0.863564453125
blind_pooled,A,0.45,0,20,0.625,16,0.0,0.6875,0.203125,0.9896875,0.004375,0.9258593749999999
