name,alpha,x0_n,rho,claim_id,q_roll,wrong_roll
B1_armA_a0.38_x20_r08,0.38,20,0,382,0.995,0.005
B1_armA_a0.38_x20_r09,0.38,20,0,1569,1.0,0.0
B1_armA_a0.38_x20_r10,0.38,20,0,6,1.0,0.0
B1_armA_a0.38_x20_r11,0.38,20,0,2070,1.0,0.0
B1_armA_a0.38_x20_r12,0.38,20,0,2070,0.99,0.01
B1_armA_a0.38_x20_r13,0.38,20,0,382,0.98,0.02
B1_armA_a0.38_x20_r14,0.38,20,0,6,0.985,0.01
B1_armA_a0.38_x20_r15,0.38,20,0,1569,1.0,0.0
B1_armA_a0.38_x24_r00,0.38,24,0,382,1.0,0.0
B1_armA_a0.38_x24_r01,0.38,24,0,6,1.0,0.0
B1_armA_a0.38_x24_r02,0.38,24,0,1569,1.0,0.0
B1_armA_a0.38_x24_r03,0.38,24,0,2070,1.0,0.0
B1_armA_a0.38_x24_r04,0.38,24,0,382,1.0,0.0
B1_armA_a0.38_x24_r05,0.38,24,0,1569,1.0,0.0
B1_armA_a0.38_x24_r06,0.38,24,0,2070,1.0,0.0
B1_armA_a0.38_x24_r07,0.38,24,0,6,1.0,0.0
B1_armA_a0.38_x24_r08,0.38,24,0,2070,1.0,0.0
B1_armA_a0.38_x24_r09,0.38,24,0,1569,1.0,0.0
B1_armA_a0.38_x24_r10,0.38,24,0,6,1.0,0.0
B1_armA_a0.38_x24_r11,0.38,24,0,382,1.0,0.0
B1_armA_a0.38_x24_r12,0.38,24,0,6,1.0,0.0
B1_armA_a0.38_x24_r13,0.38,24,0,1569,1.0,0.0
B1_armA_a0.38_x24_r14,0.38,24,0,2070,1.0,0.0
B1_armA_a0.38_x24_r15,0.38,24,0,382,1.0,0.0
B1_armA_a0.45_x04_r00,0.45,4,0,382,0.04,0.885
B1_armA_a0.45_x04_r01,0.45,4,0,2070,0.04,0.865
B1_armA_a0.45_x04_r02,0.45,4,0,6,0.05,0.84
B1_armA_a0.45_x04_r03,0.45,4,0,1569,0.645,0.22
B1_armA_a0.45_x04_r04,0.45,4,0,382,0.075,0.85
B1_armA_a0.45_x04_r05,0.45,4,0,1569,0.44,0.395
B1_armA_a0.45_x04_r06,0.45,4,0,6,0.02,0.905
B1_armA_a0.45_x04_r07,0.45,4,0,2070,0.03,0.935
B1_armA_a0.45_x04_r08,0.45,4,0,1569,0.705,0.16
B1_armA_a0.45_x04_r09,0.45,4,0,2070,0.01,0.94
B1_armA_a0.45_x04_r10,0.45,4,0,382,0.055,0.82
B1_armA_a0.45_x04_r11,0.45,4,0,6,0.08,0.865
B1_armA_a0.45_x04_r12,0.45,4,0,6,0.125,0.715
B1_armA_a0.45_x04_r13,0.45,4,0,1569,0.605,0.195
B1_armA_a0.45_x04_r14,0.45,4,0,2070,0.02,0.94
B1_armA_a0.45_x04_r15,0.45,4,0,382,0.03,0.88
B1_armA_a0.45_x08_r00,0.45,8,0,1569,0.87,0.045
B1_armA_a0.45_x08_r01,0.45,8,0,382,0.3,0.485
B1_armA_a0.45_x08_r02,0.45,8,0,6,0.4,0.43
B1_armA_a0.45_x08_r03,0.45,8,0,2070,0.23,0.62
B1_armA_a0.45_x08_r04,0.45,8,0,382,0.22,0.625
B1_armA_a0.45_x08_r05,0.45,8,0,2070,0.115,0.76
B1_armA_a0.45_x08_r06,0.45,8,0,6,0.105,0.72
B1_armA_a0.45_x08_r07,0.45,8,0,1569,0.81,0.095
B1_armA_a0.45_x08_r08,0.45,8,0,382,0.175,0.675
B1_armA_a0.45_x08_r09,0.45,8,0,1569,0.89,0.05
B1_armA_a0.45_x08_r10,0.45,8,0,6,0.48,0.345
B1_armA_a0.45_x08_r11,0.45,8,0,2070,0.21,0.645
B1_armA_a0.45_x08_r12,0.45,8,0,2070,0.095,0.82
B1_armA_a0.45_x08_r13,0.45,8,0,6,0.165,0.67
B1_armA_a0.45_x08_r14,0.45,8,0,382,0.175,0.715
B1_armA_a0.45_x08_r15,0.45,8,0,1569,0.93,0.035
B1_armA_a0.45_x12_r00,0.45,12,0,1569,0.99,0.01
B1_armA_a0.45_x12_r01,0.45,12,0,6,0.86,0.065
B1_armA_a0.45_x12_r02,0.45,12,0,2070,0.75,0.13
B1_armA_a0.45_x12_r03,0.45,12,0,382,0.67,0.26
B1_armA_a0.45_x12_r04,0.45,12,0,2070,0.675,0.19
B1_armA_a0.45_x12_r05,0.45,12,0,382,0.58,0.25
B1_armA_a0.45_x12_r06,0.45,12,0,1569,0.975,0.01
B1_armA_a0.45_x12_r07,0.45,12,0,6,0.68,0.215
B1_armA_a0.45_x12_r08,0.45,12,0,6,0.86,0.09
B1_armA_a0.45_x12_r09,0.45,12,0,2070,0.445,0.37
B1_armA_a0.45_x12_r10,0.45,12,0,382,0.585,0.29
B1_armA_a0.45_x12_r11,0.45,12,0,1569,0.985,0.01
B1_armA_a0.45_x12_r12,0.45,12,0,6,0.38,0.455
B1_armA_a0.45_x12_r13,0.45,12,0,2070,0.55,0.29
B1_armA_a0.45_x12_r14,0.45,12,0,1569,0.99,0.0
B1_armA_a0.45_x12_r15,0.45,12,0,382,0.71,0.175
B1_armA_a0.45_x16_r00,0.45,16,0,382,0.96,0.02
B1_armA_a0.45_x16_r01,0.45,16,0,6,0.965,0.015
B1_armA_a0.45_x16_r02,0.45,16,0,2070,0.875,0.07
B1_armA_a0.45_x16_r03,0.45,16,0,1569,0.99,0.0
B1_armA_a0.45_x16_r04,0.45,16,0,6,0.925,0.035
B1_armA_a0.45_x16_r05,0.45,16,0,2070,0.91,0.03
B1_armA_a0.45_x16_r06,0.45,16,0,1569,1.0,0.0
B1_armA_a0.45_x16_r07,0.45,16,0,382,0.92,0.025
B1_armA_a0.45_x16_r08,0.45,16,0,6,0.97,0.02
B1_armA_a0.45_x16_r09,0.45,16,0,2070,0.93,0.035
B1_armA_a0.45_x16_r10,0.45,16,0,1569,1.0,0.0
B1_armA_a0.45_x16_r11,0.45,16,0,382,0.875,0.05
B1_armA_a0.45_x16_r12,0.45,16,0,6,0.95,0.03
B1_armA_a0.45_x16_r13,0.45,16,0,2070,0.855,0.075
B1_armA_a0.45_x16_r14,0.45,16,0,382,0.895,0.07
B1_armA_a0.45_x16_r15,0.45,16,0,1569,0.995,0.0
B1_armA_a0.45_x20_r00,0.45,20,0,1569,1.0,0.0
B1_armA_a0.45_x20_r01,0.45,20,0,2070,0.985,0.01
B1_armA_a0.45_x20_r02,0.45,20,0,382,1.0,0.0
B1_armA_a0.45_x20_r03,0.45,20,0,6,0.99,0.01
B1_armA_a0.45_x20_r04,0.45,20,0,6,0.99,0.005
B1_armA_a0.45_x20_r05,0.45,20,0,382,1.0,0.0
B1_armA_a0.45_x20_r06,0.45,20,0,2070,1.0,0.0
B1_armA_a0.45_x20_r07,0.45,20,0,1569,1.0,0.0
B1_armA_a0.45_x20_r08,0.45,20,0,382,1.0,0.0
B1_armA_a0.45_x20_r09,0.45,20,0,1569,1.0,0.0
B1_armA_a0.45_x20_r10,0.45,20,0,2070,0.995,0.0
B1_armA_a0.45_x20_r11,0.45,20,0,6,1.0,0.0
B1_armA_a0.45_x20_r12,0.45,20,0,2070,0.995,0.0
B1_armA_a0.45_x20_r13,0.45,20,0,1569,1.0,0.0
B1_armA_a0.45_x20_r14,0.45,20,0,6,0.98,0.015
B1_armA_a0.45_x20_r15,0.45,20,0,382,0.985,0.01
B1_armA_a0.45_x24_r00,0.45,24,0,2070,1.0,0.0
B1_armA_a0.45_x24_r01,0.45,24,0,1569,1.0,0.0
B1_armA_a0.45_x24_r02,0.45,24,0,382,1.0,0.0
B1_armA_a0.45_x24_r03,0.45,24,0,6,1.0,0.0
B1_armA_a0.45_x24_r04,0.45,24,0,1569,1.0,0.0
B1_armA_a0.45_x24_r05,0.45,24,0,6,1.0,0.0
B1_armA_a0.45_x24_r06,0.45,24,0,382,0.995,0.0
B1_armA_a0.45_x24_r07,0.45,24,0,2070,1.0,0.0
B1_armA_a0.45_x24_r08,0.45,24,0,2070,1.0,0.0
B1_armA_a0.45_x24_r09,0.45,24,0,1569,1.0,0.0
B1_armA_a0.45_x24_r10,0.45,24,0,6,1.0,0.0
B1_armA_a0.45_x24_r11,0.45,24,0,382,1.0,0.0
B1_armA_a0.45_x24_r12,0.45,24,0,382,1.0,0.0
B1_armA_a0.45_x24_r13,0.45,24,0,1569,1.0,0.0
B1_armA_a0.45_x24_r14,0.45,24,0,2070,1.0,0.0
B1_armA_a0.45_x24_r15,0.45,24,0,6,1.0,0.0
B1_armA_a0.55_x04_r00,0.55,4,0,1569,0.71,0.13
B1_armA_a0.55_x04_r01,0.55,4,0,2070,0.2,0.61
B1_armA_a0.55_x04_r02,0.55,4,0,6,0.11,0.69
B1_armA_a0.55_x04_r03,0.55,4,0,382,0.195,0.555
B1_armA_a0.55_x04_r04,0.55,4,0,382,0.185,0.59
B1_armA_a0.55_x04_r05,0.55,4,0,1569,0.7,0.135
B1_armA_a0.55_x04_r06,0.55,4,0,6,0.14,0.645
B1_armA_a0.55_x04_r07,0.55,4,0,2070,0.11,0.76
B1_armA_a0.55_x04_r08,0.55,4,0,6,0.13,0.68
B1_armA_a0.55_x04_r09,0.55,4,0,382,0.175,0.625
B1_armA_a0.55_x04_r10,0.55,4,0,2070,0.055,0.81
B1_armA_a0.55_x04_r11,0.55,4,0,1569,0.725,0.135
B1_armA_a0.55_x04_r12,0.55,4,0,6,0.2,0.55
B1_armA_a0.55_x04_r13,0.55,4,0,2070,0.105,0.765
B1_armA_a0.55_x04_r14,0.55,4,0,1569,0.665,0.14
B1_armA_a0.55_x04_r15,0.55,4,0,382,0.15,0.7
B1_armA_a0.55_x08_r00,0.55,8,0,1569,0.98,0.005
B1_armA_a0.55_x08_r01,0.55,8,0,382,0.585,0.235
B1_armA_a0.55_x08_r02,0.55,8,0,2070,0.33,0.425
B1_armA_a0.55_x08_r03,0.55,8,0,6,0.49,0.285
B1_armA_a0.55_x08_r04,0.55,8,0,6,0.445,0.37
B1_armA_a0.55_x08_r05,0.55,8,0,2070,0.31,0.485
B1_armA_a0.55_x08_r06,0.55,8,0,382,0.31,0.51
B1_armA_a0.55_x08_r07,0.55,8,0,1569,0.96,0.015
B1_armA_a0.55_x08_r08,0.55,8,0,1569,0.885,0.04
B1_armA_a0.55_x08_r09,0.55,8,0,6,0.25,0.55
B1_armA_a0.55_x08_r10,0.55,8,0,382,0.49,0.36
B1_armA_a0.55_x08_r11,0.55,8,0,2070,0.31,0.495
B1_armA_a0.55_x08_r12,0.55,8,0,1569,0.965,0.005
B1_armA_a0.55_x08_r13,0.55,8,0,2070,0.34,0.445
