model,alpha,Ek,x,stability,h,beta
gma,1.05,3.6055829386563936,0.45985729600814174,unstable,0.10299999999999998,1.123
gma,1.05,3.6055829386563936,0.9843745395342616,stable,0.10299999999999998,1.123
gma,1.1,3.49512412333907,0.024745581402564484,stable,0.10299999999999998,1.123
gma,1.1,3.49512412333907,0.45669532219880116,unstable,0.10299999999999998,1.123
gma,1.1,3.49512412333907,0.9818976139996616,stable,0.10299999999999998,1.123
gma,1.15,3.3926491011996207,0.02883424161040616,stable,0.10299999999999998,1.123
gma,1.15,3.3926491011996207,0.4532855944599403,unstable,0.10299999999999998,1.123
gma,1.15,3.3926491011996207,0.97917265470902,stable,0.10299999999999998,1.123
gma,1.2,3.297238205584458,0.03342706838884729,stable,0.10299999999999998,1.123
gma,1.2,3.297238205584458,0.4495922023438479,unstable,0.10299999999999998,1.123
gma,1.2,3.297238205584458,0.9761823071923073,stable,0.10299999999999998,1.123
gma,1.25,3.208082497680546,0.03858479965182919,stable,0.10299999999999998,1.123
gma,1.25,3.208082497680546,0.4455708774160323,unstable,0.10299999999999998,1.123
gma,1.25,3.208082497680546,0.9729090789167552,stable,0.10299999999999998,1.123
gma,1.3,3.1244778965202817,0.04437662083403586,stable,0.10299999999999998,1.123
gma,1.3,3.1244778965202817,0.4411672503567382,unstable,0.10299999999999998,1.123
gma,1.3,3.1244778965202817,0.9693364247002056,stable,0.10299999999999998,1.123
gma,1.35,3.0458225486093227,0.05088149751844866,stable,0.10299999999999998,1.123
gma,1.35,3.0458225486093227,0.4363147063715299,unstable,0.10299999999999998,1.123
gma,1.35,3.0458225486093227,0.9654497818006444,stable,0.10299999999999998,1.123
gma,1.4,2.9716134772964704,0.058190618757486934,stable,0.10299999999999998,1.123
gma,1.4,2.9716134772964704,0.43093143825187086,unstable,0.10299999999999998,1.123
gma,1.4,2.9716134772964704,0.9612374457194954,stable,0.10299999999999998,1.123
gma,1.45,2.901440359125475,0.06641159943190386,stable,0.10299999999999998,1.123
gma,1.45,2.901440359125475,0.42491604115216086,unstable,0.10299999999999998,1.123
gma,1.45,2.901440359125475,0.9566912255706188,stable,0.10299999999999998,1.123
gma,1.5,2.834975874764509,0.07567549729049156,stable,0.10299999999999998,1.123
gma,1.5,2.834975874764509,0.4181405446623979,unstable,0.10299999999999998,1.123
gma,1.5,2.834975874764509,0.9518068559881314,stable,0.10299999999999998,1.123
gma,1.55,2.7719632041370468,0.08614858538006487,stable,0.10299999999999998,1.123
gma,1.55,2.7719632041370468,0.4104388790831939,unstable,0.10299999999999998,1.123
gma,1.55,2.7719632041370468,0.9465841666354358,stable,0.10299999999999998,1.123
gma,1.6,2.712201830353747,0.0980528047756907,stable,0.10299999999999998,1.123
gma,1.6,2.712201830353747,0.4015867935607029,unstable,0.10299999999999998,1.123
gma,1.6,2.712201830353747,0.9410270224000359,stable,0.10299999999999998,1.123
gma,1.65,2.6555329727250454,0.11170364209064076,stable,0.10299999999999998,1.123
gma,1.65,2.6555329727250454,0.39126443731688987,unstable,0.10299999999999998,1.123
gma,1.65,2.6555329727250454,0.935143052158518,stable,0.10299999999999998,1.123
gma,1.7,2.6018258276052033,0.12758745613504002,stable,0.10299999999999998,1.123
gma,1.7,2.6018258276052033,0.3789795485512477,unstable,0.10299999999999998,1.123
gma,1.7,2.6018258276052033,0.9289431865895954,stable,0.10299999999999998,1.123
gma,1.75,2.5509654974012386,0.14654425835034018,stable,0.10299999999999998,1.123
gma,1.75,2.5509654974012386,0.36388522398221257,unstable,0.10299999999999998,1.123
gma,1.75,2.5509654974012386,0.922441029531506,stable,0.10299999999999998,1.123
gma,1.8,2.502843142922365,0.1703160641817804,stable,0.10299999999999998,1.123
gma,1.8,2.502843142922365,0.3442321320457602,unstable,0.10299999999999998,1.123
gma,1.8,2.502843142922365,0.9156520944788029,stable,0.10299999999999998,1.123
gma,1.85,2.4573485744105774,0.20422402544762785,stable,0.10299999999999998,1.123
gma,1.85,2.4573485744105774,0.3146919371168977,unstable,0.10299999999999998,1.123
gma,1.85,2.4573485744105774,0.908592947838575,stable,0.10299999999999998,1.123
gma,1.9,2.4143652399570135,0.9012803119342814,stable,0.10299999999999998,1.123
gma,1.95,2.3737673890340147,0.8937301911100386,stable,0.10299999999999998,1.123
gma,2.0,2.335419079922728,0.8859570911593746,stable,0.10299999999999998,1.123
gma,2.05,2.299174650873623,0.8779734036634326,stable,0.10299999999999998,1.123
gma,2.1,2.264880270968331,0.8697890215818724,stable,0.10299999999999998,1.123
gma,2.15,2.232376213357604,0.8614112406090613,stable,0.10299999999999998,1.123
gma,2.2,2.20149953848256,0.8528449834516298,stable,0.10299999999999998,1.123
gma,2.25,2.1720869284584152,0.8440933628767575,stable,0.10299999999999998,1.123
gma,2.3,2.1439774691343962,0.8351585758237519,stable,0.10299999999999998,1.123
gma,2.35,2.1170152289017423,0.8260430961023182,stable,0.10299999999999998,1.123
gma,2.4,2.091051530407067,0.8167511074279274,stable,0.10299999999999998,1.123
gma,2.45,2.0659468516070185,0.8072900911747882,stable,0.10299999999999998,1.123
gma,2.5,2.0415723256799696,0.7976724536016977,stable,0.10299999999999998,1.123
gma,2.55,2.017810835412379,0.7879170460203149,stable,0.10299999999999998,1.123
gma,2.6,1.9945577173868316,0.7780504019890617,stable,0.10299999999999998,1.123
gma,2.65,1.9717211053907264,0.7681074961491294,stable,0.10299999999999998,1.123
gma,2.7,1.9492219517852951,0.7581318323915172,stable,0.10299999999999998,1.123
gma,2.75,1.9269937709651137,0.7481747092218247,stable,0.10299999999999998,1.123
gma,2.8,1.9049821512876646,0.7382935976725273,stable,0.10299999999999998,1.123
gma,2.85,1.883144081673814,0.7285496989942062,stable,0.10299999999999998,1.123
gma,2.9,1.861447137096837,0.7190049028247201,stable,0.10299999999999998,1.123
gma,2.95,1.839868563922657,0.709718500516787,stable,0.10299999999999998,1.123
gma,3.0,1.8183943019810287,0.7007440768259265,stable,0.10299999999999998,1.123
qwn,0.1,14.348020496234245,0.477437556706241,unstable,0.7875,1.7965
qwn,0.15,11.79004296848671,0.47108831927754324,unstable,0.7875,1.7965
qwn,0.2,10.119499085585277,0.464712806690996,unstable,0.7875,1.7965
qwn,0.25,8.927251374086925,1.9907749349254063e-06,stable,0.7875,1.7965
qwn,0.25,8.927251374086925,0.45823092869289017,unstable,0.7875,1.7965
qwn,0.3,8.026130444333326,7.449795482024808e-06,stable,0.7875,1.7965
